TimeStamp,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
20211025024318,GET,Verify Cart,29251,273,3900.0,5860.218996277105,577.4894790001781,34372.92358300056,779473.0802365731,14.002498191606094,0.1306855152407939,3900,5900,7700,9200,14000,17000,21000,24000,30000,33000,34000
20211025024318,GET,open cart page,448078,2271,2700.0,4541.531276323512,186.95602500156383,32382.59193299928,753488.4823044202,214.4956201394303,1.0871311542558353,2700,4400,5900,7300,12000,15000,19000,21000,26000,28000,32000
20211025020710,POST,Add to Bag,5517,199,3700.0,5957.654256095348,20.681546000560047,40103.5066179993,17970.78847199565,15.755971813192565,0.5683230724715099,3700,4500,5100,5700,17000,23000,29000,31000,38000,40000,40000
20211025020710,POST,Add to Wishlist,280,2,2200.0,4059.1396435856977,117.15074499988988,37657.724738999605,6158.421428571429,0.7996505542312702,0.0057117896730805,2200,2800,3300,3800,10000,19000,26000,28000,38000,38000,38000
20211025020710,GET,Get Cookies,44990,2505,4700.0,9161.496973567368,19.694132000040558,65681.34169600034,713114.4736163592,128.48670869594588,7.154016565533328,4700,6000,7100,8100,33000,42000,49000,52000,59000,62000,66000
20211025020710,GET,Get PLPs,23648,0,70.0,91.53214237157408,37.726721000581165,671.1938940006803,1199612.007738498,67.53620109450385,0.0,70,88,100,110,160,220,300,370,570,650,670
20211025020710,GET,Go to Delivery Page,2275,145,5800.0,7189.524464991203,503.4047079998345,56618.081130000064,771071.9432967033,6.49716075312907,0.4141047512983363,5800,7100,7900,8500,11000,19000,31000,39000,48000,57000,57000
20211025020710,GET,Go to Payment Page,1017,3,5900.0,8106.584109399209,664.0883840000242,58928.4062480001,780340.918387414,2.9044450487614357,0.0085676845096207,5900,6900,7800,8400,10000,33000,47000,52000,56000,59000,59000
20211025020710,GET,Open PLP Page,26670,0,67.0,87.70725164435505,36.48069399969245,678.9681030004431,1076097.1824146982,76.16671529052849,0.0,67,84,99,110,160,210,290,350,510,640,680
20211025020710,POST,Set Shipment Information,1663,47,3500.0,4042.527898411289,280.61272899958567,30744.157201000235,60.134095009019845,4.749353113166437,0.1342270573173918,3500,4000,4400,4600,5400,7000,16000,22000,30000,31000,31000
20211025020710,GET,Verify Cart,2534,208,5900.0,8028.683321214697,358.5100139998758,61763.58938799967,721206.5702446725,7.236837515792995,0.5940261260003722,5900,7200,8100,8800,15000,25000,44000,47000,56000,62000,62000
20211025020710,GET,open cart page,46771,2674,4600.0,8837.428916981606,21.84327199938707,66325.18107299984,712152.5238288683,133.57305739982408,7.636662792908631,4600,5900,7000,7900,30000,43000,48000,51000,56000,61000,66000
20211025015943,POST,Add to Bag,2349,0,4200.0,3963.498043987661,670.1218130001507,9105.670148000172,18106.038739889314,12.867207342506363,0.0,4200,4600,4900,5000,5400,5800,6300,6500,7400,9100,9100
20211025015943,POST,Add to Wishlist,175,0,3100.0,2842.595138514283,124.2347380002684,4892.939464999472,6186.0,0.958604208147558,0.0,3100,3500,3700,3900,4200,4500,4800,4900,4900,4900,4900
20211025015943,GET,Get Cookies,28315,0,3500.0,3318.090034221721,199.73753599970223,16560.90852000034,757451.8166696097,155.10216087827487,0.0,3500,3900,4200,4500,5000,5500,6100,6400,7600,16000,17000
20211025015943,GET,Get PLPs,14746,0,2700.0,2346.1706441645883,39.9304940001457,4818.946725000387,1199612.1515665266,80.77472944767938,0.0,2700,3000,3200,3300,3500,3700,3800,4000,4500,4800,4800
20211025015943,GET,Go to Delivery Page,843,0,4200.0,4030.091940451957,667.990490000193,8874.953599000037,827839.7485172005,4.617733414105094,0.0,4200,4700,5100,5300,6000,6600,7100,7300,8900,8900,8900
20211025015943,GET,Go to Payment Page,371,0,4100.0,3954.8937649029385,647.3839090003821,9808.17007800033,787073.204851752,2.0322409212728227,0.0,4100,4700,5000,5300,5800,6100,6800,7200,9800,9800,9800
20211025015943,GET,Open PLP Page,16141,0,2700.0,2346.3525846760426,38.337240999680944,4841.774135999913,1076497.53051236,88.41617442119848,0.0,2700,3000,3200,3300,3500,3700,3900,4000,4500,4800,4800
20211025015943,POST,Set Shipment Information,642,0,4200.0,3912.444577577858,884.4861429997763,6858.323960000234,15.0,3.51670800931847,0.0,4200,4500,4900,4900,5300,5700,6100,6200,6900,6900,6900
20211025015943,GET,Verify Cart,881,0,4100.0,3957.115045660616,617.1711030001461,8274.094464999507,786930.6379114642,4.825887470731421,0.0,4100,4600,4900,5200,5700,6300,6800,7400,8300,8300,8300
20211025015943,GET,open cart page,28934,0,3600.0,4094.3368783863616,211.6124590002073,27287.298409999494,757451.821386604,158.4928809059511,0.0,3600,4200,4500,4800,5600,8700,18000,20000,25000,27000,27000
20211025015427,POST,Add to Bag,7602,0,2000.0,2126.7538557796606,729.3331249993571,7944.001113000013,18608.238358326755,20.899789719534237,0.0,2000,2300,2500,2600,3100,3500,4000,4300,6200,7900,7900
20211025015427,POST,Add to Wishlist,404,0,890.0,937.5860370247408,133.50646999970195,3184.296022000126,6186.0,1.110696533371722,0.0,890,1000,1100,1200,1500,1700,1900,2100,3200,3200,3200
20211025015427,GET,Get Cookies,60227,0,1200.0,1379.6679329620945,200.668315999792,5721.461313999498,757451.8057183655,165.57901018658094,0.0,1200,1500,1700,1900,2400,2800,3200,3500,4400,5200,5700
20211025015427,GET,Get PLPs,31923,0,380.0,401.0310627993905,40.18262899990077,1288.1895049995364,1199612.1498292766,87.7642708782809,0.0,380,450,500,530,630,740,850,920,1100,1200,1300
20211025015427,GET,Go to Delivery Page,3736,0,2000.0,2156.308973755888,726.8123309995644,7893.424722999953,827841.9983940043,10.271193684843448,0.0,2000,2300,2600,2800,3300,3800,4300,4700,6200,7900,7900
20211025015427,GET,Go to Payment Page,1777,0,2000.0,2167.775972686551,791.7394570004035,7408.507315999486,786967.7580191334,4.885415197528589,0.0,2000,2300,2600,2700,3300,3800,4400,4800,5800,7400,7400
20211025015427,GET,Open PLP Page,35525,0,380.0,393.4149128870922,37.84483399977034,1310.5597680005303,1076729.6412948628,97.66706521789708,0.0,380,440,490,520,620,720,830,900,1100,1200,1300
20211025015427,POST,Set Shipment Information,2969,0,2100.0,2277.669228643661,934.2502110002896,8497.862811000232,15.0,8.162519820744164,0.0,2100,2400,2600,2800,3200,3700,4400,4900,8100,8500,8500
20211025015427,GET,Verify Cart,3755,0,2000.0,2135.3658261299565,600.0995659996988,6594.204301999525,786937.1707057257,10.32342941289806,0.0,2000,2300,2600,2800,3300,3800,4300,4800,6000,6600,6600
20211025015427,GET,open cart page,60473,0,1300.0,1444.6131201380294,204.14512200022727,15142.86513299976,757451.804623551,166.2553254024459,0.0,1300,1600,1800,1900,2400,2900,3300,3600,4600,5800,15000
20211025014603,POST,Add to Bag,23701,22,1400.0,2057.5543931265765,91.63928399993893,26622.343256000026,18621.57617822033,11.688526298870118,0.010849651009457,1400,1900,2400,2700,3900,5200,7100,9000,16000,23000,27000
20211025014603,POST,Add to Wishlist,1180,0,420.0,739.730341436438,101.40755500015077,5623.824130999765,6186.0,0.5819358268708805,0.0,420,720,990,1200,1700,2300,3300,4100,5600,5600,5600
20211025014603,GET,Get Cookies,180813,0,830.0,1443.2491719761008,176.6447949994472,19536.61956699989,757386.3518331094,89.17081581695298,0.0,830,1500,2000,2300,3300,4400,6300,7900,10000,13000,20000
20211025014603,GET,Get PLPs,95710,0,50.0,54.75011697163176,37.12008300044545,670.4068770000049,1199612.0578622925,47.200913550688114,0.0,50,55,59,62,72,83,98,110,150,320,670
20211025014603,GET,Go to Delivery Page,11806,0,1500.0,2341.639477231924,572.2946320001938,23734.81401699973,827792.1692359817,5.822317264438658,0.0,1500,2300,3000,3500,4900,6400,9000,10000,17000,22000,24000
20211025014603,GET,Go to Payment Page,5909,0,1500.0,2323.178593770009,572.7488040001845,15492.16231499986,786917.9069216449,2.9141176279491807,0.0,1500,2400,3100,3500,4700,6000,8600,9800,13000,15000,15000
20211025014603,GET,Open PLP Page,107638,0,48.0,52.28732285838736,34.878934000062145,8032.513450000806,1076355.3207138742,53.08339706163376,0.0,48,53,57,60,69,81,95,110,140,180,8000
20211025014603,POST,Set Shipment Information,9415,7,1600.0,1946.463116009456,197.06600199970129,12816.679671000202,16.71789697291556,4.643157466092661,0.0034521616848272,1600,1900,2300,2500,3300,4100,5300,6200,10000,13000,13000
20211025014603,GET,Verify Cart,11825,9,1500.0,2310.140660743427,539.4830099994579,21731.291406999844,786337.3873150105,5.831687417583188,0.0044384935947779,1500,2400,3100,3600,4800,6300,8800,10000,15000,20000,22000
20211025014603,GET,open cart page,180872,0,810.0,1427.6519226120688,175.22504999942612,19857.255674000044,757375.7537485072,89.19991260829653,0.0,810,1400,2000,2300,3300,4300,6300,7900,10000,14000,20000
20211025010811,POST,Add to Bag,1342,0,3400.0,3771.717199315206,975.0732880002032,12941.629710000145,18602.385991058123,9.8018254670532,0.0,3400,4100,4700,5100,6400,7400,8900,9700,12000,13000,13000
20211025010811,POST,Add to Wishlist,73,0,850.0,1027.6983469041452,135.93958999990718,3371.529923999788,6186.0,0.5331842467174991,0.0,850,1100,1300,1600,1900,2400,3300,3400,3400,3400,3400
